doc_id,text,date,_map,team_1,team_2
2308954_Cache,NRG Immortals Cache 16 10,2017-03-24,Cache,NRG,Immortals
2308960_Mirage,glassysky Signature Mirage 3 16,2017-03-26,Mirage,glassysky,Signature
2308979_Cobblestone,Outlaws eSuba Cobblestone 16 7,2017-03-23,Cobblestone,Outlaws,eSuba
2308996_Mirage,ex-DarkPassage Crowns Mirage 4 16,2017-03-21,Mirage,ex-DarkPassage,Crowns
2309004_Cobblestone,ex-DarkPassage iNation Cobblestone 2 16,2017-03-22,Cobblestone,ex-DarkPassage,iNation
2309005_Train,TheMongolz nxl Train 16 6,2017-03-23,Train,TheMongolz,nxl
2309010_Nuke,Tricked Preparation Nuke 16 12,2017-03-23,Nuke,Tricked,Preparation
2309016_Overpass,PENTA GODSENT Overpass 14 16,2017-03-23,Overpass,PENTA,GODSENT
2309025_Train,Splyce RONIN Train 16 14,2017-03-24,Train,Splyce,RONIN
2309051_Overpass,x6tence BIG Overpass 4 16,2017-03-25,Overpass,x6tence,BIG
2309079_Train,Kinguin iGame.com Train 16 5,2017-03-26,Train,Kinguin,iGame.com
2309080_Mirage,Vega Squadron GODSENT Mirage 16 5,2017-03-26,Mirage,Vega Squadron,GODSENT
2309087_Mirage,Splyce Selfless Mirage 17 19,2017-03-26,Mirage,Splyce,Selfless
2309091_Overpass,Selfless NRG Overpass 3 16,2017-03-26,Overpass,Selfless,NRG
2309095_Cache,Kinguin Vega Squadron Cache 10 16,2017-03-26,Cache,Kinguin,Vega Squadron
2309100_Inferno,PENTA Playing Ducks Inferno 16 13,2017-03-27,Inferno,PENTA,Playing Ducks
2309106_Overpass,Spirit iGame.com Overpass 10 16,2017-03-27,Overpass,Spirit,iGame.com
2309135_Overpass,Chrome ROYALS Overpass 16 9,2017-03-28,Overpass,Chrome,ROYALS
2309140_Overpass,fnatic Academy Playing Ducks Overpass 16 8,2017-03-28,Overpass,fnatic Academy,Playing Ducks
2309149_Cobblestone,Complexity Selfless Cobblestone 16 10,2017-03-30,Cobblestone,Complexity,Selfless
2309153_Train,Renegades SK Train 16 13,2017-03-31,Train,Renegades,SK
2309158_Mirage,CLG Cloud9 Mirage 16 9,2017-03-31,Mirage,CLG,Cloud9
2309161_Overpass,Astralis Kinguin Overpass 16 7,2017-03-29,Overpass,Astralis,Kinguin
2309166_Mirage,North HellRaisers Mirage 16 10,2017-03-30,Mirage,North,HellRaisers
2309168_Inferno,G2 LDLC Inferno 16 5,2017-03-30,Inferno,G2,LDLC
2309172_Nuke,Threats Signature Nuke 5 16,2017-03-29,Nuke,Threats,Signature
2309175_Inferno,New4 Born Of Fire Inferno 9 16,2017-03-29,Inferno,New4,Born Of Fire
2309176_Cobblestone,ViCi 5POWER Cobblestone 16 10,2017-03-29,Cobblestone,ViCi,5POWER
2309182_Cache,Manatee RANKS Cache 19 16,2017-03-29,Cache,Manatee,RANKS
2309213_Inferno,iGame.com fnatic Academy Inferno 14 16,2017-03-31,Inferno,iGame.com,fnatic Academy
2309221_Cobblestone,Recca UTM Cobblestone 16 3,2017-03-30,Cobblestone,Recca,UTM
2309233_Inferno,FMESPORTS Endpoint Inferno 16 9,2017-04-01,Inferno,FMESPORTS,Endpoint
2309252_Overpass,Cloud9 Luminosity Overpass 16 6,2017-04-02,Overpass,Cloud9,Luminosity
2309258_Cache,Bravado Energy Cache 16 8,2017-04-01,Cache,Bravado,Energy
2309266_Inferno,Natus Vincere UYA Inferno 16 9,2017-04-04,Inferno,Natus Vincere,UYA
2309271_Train,AVANT Immunity Train 6 16,2017-04-02,Train,AVANT,Immunity
2309272_Inferno,Tainted Minds Immunity Inferno 16 6,2017-04-02,Inferno,Tainted Minds,Immunity
2309274_Mirage,AVANT Immunity Mirage 16 5,2017-04-08,Mirage,AVANT,Immunity
2309275_Train,Legacy Immunity Train 11 16,2017-04-08,Train,Legacy,Immunity
2309292_Overpass,ENCE Norse Overpass 12 16,2017-04-01,Overpass,ENCE,Norse
2309294_Cache,Manatee Binary Dragons Cache 8 16,2017-04-01,Cache,Manatee,Binary Dragons
2309306_Mirage,Spirit RANKS Mirage 16 6,2017-04-02,Mirage,Spirit,RANKS
2309310_Cache,Kinguin ENCORE Cache 12 16,2017-04-02,Cache,Kinguin,ENCORE
2309325_Cobblestone,Complexity RONIN Cobblestone 16 11,2017-04-02,Cobblestone,Complexity,RONIN
2309331_Cache,NRG TheGosuCrew Cache 16 6,2017-04-02,Cache,NRG,TheGosuCrew
2309348_Mirage,Tricked HellRaisers Mirage 9 16,2017-04-02,Mirage,Tricked,HellRaisers
2309348_Nuke,Tricked HellRaisers Nuke 13 16,2017-04-02,Nuke,Tricked,HellRaisers
2309378_Mirage,TzatzikiKlubben CAI Mirage 16 13,2017-04-03,Mirage,TzatzikiKlubben,CAI
2309389_Inferno,Chiefs Athletico Inferno 17 19,2017-04-04,Inferno,Chiefs,Athletico
2309401_Cobblestone,NiP MVP Project Cobblestone 16 9,2017-04-05,Cobblestone,NiP,MVP Project
2309421_Cache,FaZe North Cache 13 16,2017-04-07,Cache,FaZe,North
2309429_Inferno,Natus Vincere fnatic Inferno 7 16,2017-04-08,Inferno,Natus Vincere,fnatic
2309429_Overpass,Natus Vincere fnatic Overpass 16 6,2017-04-08,Overpass,Natus Vincere,fnatic
2309430_Cache,CLG Astralis Cache 11 16,2017-04-08,Cache,CLG,Astralis
2309430_Inferno,CLG Astralis Inferno 13 16,2017-04-08,Inferno,CLG,Astralis
2309442_Nuke,eUnited Bee's Money Crew Nuke 11 16,2017-04-08,Nuke,eUnited,Bee's Money Crew
2309449_Nuke,BOOT-d[S] Mineski Nuke 10 16,2017-04-07,Nuke,BOOT-d[S],Mineski
2309456_Train,Quantum Bellator Fire spray'n'pray Train 16 5,2017-04-13,Train,Quantum Bellator Fire,spray'n'pray
2309457_Mirage,RuSh3D Red Reserve Mirage 7 16,2017-04-08,Mirage,RuSh3D,Red Reserve
2309462_Nuke,Sensei ACG Nuke 16 14,2017-04-10,Nuke,Sensei,ACG
2309472_Nuke,Keyd IDM Nuke 13 16,2017-04-09,Nuke,Keyd,IDM
2309474_Nuke,Imperial Planetkey Nuke 10 16,2017-04-09,Nuke,Imperial,Planetkey
2309478_Mirage,Gambit Academy Manatee Mirage 6 16,2017-04-10,Mirage,Gambit Academy,Manatee
2309498_Cobblestone,Rush Luminosity Cobblestone 8 16,2017-04-13,Cobblestone,Rush,Luminosity
2309515_Cobblestone,Red Reserve ACG Cobblestone 16 12,2017-04-11,Cobblestone,Red Reserve,ACG
2309530_Cache,North FaZe Cache 14 16,2017-04-13,Cache,North,FaZe
2309532_Inferno,paiN Isurus Inferno 16 7,2017-04-12,Inferno,paiN,Isurus
2309534_Cobblestone,Recca m0nster Cobblestone 16 11,2017-04-12,Cobblestone,Recca,m0nster
2309535_Mirage,ViCi UTM Mirage 16 6,2017-04-12,Mirage,ViCi,UTM
2309547_Train,FUAH Fragsters Train 8 16,2017-04-12,Train,FUAH,Fragsters
2309550_Inferno,eFuture Singularity Inferno 11 16,2017-04-12,Inferno,eFuture,Singularity
2309578_Cache,eSuba WySix Cache 11 16,2017-04-12,Cache,eSuba,WySix
2309578_Nuke,eSuba WySix Nuke 17 19,2017-04-12,Nuke,eSuba,WySix
2309611_Mirage,PENTA Spirit Mirage 16 3,2017-04-13,Mirage,PENTA,Spirit
2309690_Cobblestone,Sensei HoP Cobblestone 16 10,2017-04-13,Cobblestone,Sensei,HoP
2309741_Inferno,dreamchasers Defusekids Inferno 16 8,2017-04-14,Inferno,dreamchasers,Defusekids
2309748_Cache,CLG OpTic Cache 16 13,2017-04-15,Cache,CLG,OpTic
2309779_Cache,eSuba spray'n'pray Cache 16 11,2017-04-17,Cache,eSuba,spray'n'pray
2309796_Overpass,Singularity BIG Overpass 16 11,2017-04-15,Overpass,Singularity,BIG
2309808_Mirage,K29 RuSh3D Mirage 6 16,2017-04-18,Mirage,K29,RuSh3D
